end_of_quarter,end_of_quarter_release,ticker,industry,increase
2021-09-30,2021-11-08,HCA,Medical Care Facilities,-0.07815110843333521
2021-12-31,2022-02-25,HCA,Medical Care Facilities,-0.1648991328039871
2022-03-31,2022-05-10,HCA,Medical Care Facilities,-0.06352697487051921
2022-06-30,2022-08-08,HCA,Medical Care Facilities,0.21372344025666531
2022-09-30,2022-11-08,HCA,Medical Care Facilities,0.3198864326335643
2022-12-31,2023-02-24,HCA,Medical Care Facilities,0.11757040696895929
2023-03-31,2023-05-04,HCA,Medical Care Facilities,-0.16486559281970045
2023-06-30,2023-08-09,HCA,Medical Care Facilities,0.14885750751937163
2023-09-30,2023-11-02,HCA,Medical Care Facilities,0.4328850378003934
2023-12-31,2024-02-23,HCA,Medical Care Facilities,0.03322589766544149
2020-02-01,2020-03-27,JWN,Department Stores,-0.25546545483430305
2020-05-02,2020-06-17,JWN,Department Stores,0.6791530702153646
2020-08-01,2020-09-11,JWN,Department Stores,1.6060816490096597
2020-10-31,2020-12-11,JWN,Department Stores,0.11388715912289453
2021-01-30,2021-03-23,JWN,Department Stores,-0.22874922575003784
2021-05-01,2021-06-11,JWN,Department Stores,-0.40856248424920694
2021-07-31,2021-09-10,JWN,Department Stores,-0.0942685937750868
2021-10-30,2021-12-10,JWN,Department Stores,0.3393566984262828
2022-01-29,2022-03-18,JWN,Department Stores,-0.2785657012453072
2022-04-30,2022-06-10,JWN,Department Stores,-0.33590558133460524
2022-07-30,2022-09-09,JWN,Department Stores,0.013339370796465392
2022-10-29,2022-12-09,JWN,Department Stores,0.1382686361476337
2023-01-28,2023-03-17,JWN,Department Stores,-0.08823380931056125
2023-04-29,2023-06-14,JWN,Department Stores,-0.08518019342129339
2023-07-29,2023-09-08,JWN,Department Stores,0.16982313355249187
2023-10-28,2023-12-08,JWN,Department Stores,0.1256868287434644
2024-02-03,2024-03-26,JWN,Department Stores,-0.022556394058209778
2020-03-28,2021-02-25,WING,Restaurants,0.2728430728880072
2020-06-27,2021-02-25,WING,Restaurants,0.2728430728880072
2020-09-26,2021-02-25,WING,Restaurants,0.2728430728880072
2020-12-26,2021-02-25,WING,Restaurants,0.2728430728880072
2021-03-27,2021-05-05,WING,Restaurants,0.07005363454670527
2021-06-26,2021-08-04,WING,Restaurants,-0.1436383673242906
2021-09-25,2021-11-10,WING,Restaurants,-0.5098395283097783
2021-12-25,2022-02-23,WING,Restaurants,-0.11375026905622983
2022-03-26,2022-05-11,WING,Restaurants,1.2374678581156047
2022-06-25,2022-08-04,WING,Restaurants,0.28228299212173
2022-09-24,2022-11-02,WING,Restaurants,0.3381370298749029
2022-12-31,2023-03-01,WING,Restaurants,-0.056779782159881574
2023-04-01,2023-05-10,WING,Restaurants,0.014885784776828668
2023-07-01,2023-08-09,WING,Restaurants,0.8082602852792676
2023-09-30,2023-11-08,WING,Restaurants,0.6929371281472237
2023-12-30,2024-02-28,WING,Restaurants,0.013243474359015031
2020-04-18,2020-05-20,FLO,Packaged Foods,-0.002572085993302849
2020-07-11,2020-08-13,FLO,Packaged Foods,-0.059360070305380104
2020-10-03,2020-11-12,FLO,Packaged Foods,0.12770094512745395
